"","R2A.3.SIVmac239.gp120","R2A.3.SIVmac239.gp130","R2A.3.SIV.1A11.gp140","R2A.3.SIV.E543.gp140","R2A.3.SIVmac239.gp140","R2A.3.SIVmac239.gp140.AVI.His","R2A.3.J08.V1V2.E660.084.AVI.His","R2A.3.J08.V1V2.E660.2A5.AVI.His","R2A.3.J08.V1V2.mac239.AVI.His","R2A.3.V1a","R2A.3.G49","R2A.3.C1.Ak","R2A.3.C1.TR","R2A.3.G73","R2A.3.SIVsm.E660.2A5","R2A.3.SIVsm.E660.84","R2A.4.low.SIVmac239.gp140","R2A.4.high.SIVmac239.gp120","R2A.4.high.SIVmac239.gp130","R2A.4.high.SIV.E543.gp140","R2A.4.high.SIVmac239.gp140","R2A.4.high.J08.V1V2.E660.084.AVI.His","R2A.4.high.J08.V1V2.E660.2A5.AVI.His","R2A.4.high.J08.V1V2.mac239.AVI.His","R2A.4.high.V1a","R2A.4.high.G49","R2A.4.high.C1.TR","R2A.4.high.SIVsm.E660.2A5","R3A.3.SIVmac239.gp120","R3A.3.SIVmac239.gp130","R3A.3.SIV.1A11.gp140","R3A.3.SIV.E543.gp140","R3A.3.SIVmac239.gp140","R3A.3.SIVmac239.gp140.AVI.His","R3A.3.J08.V1V2.E660.084.AVI.His","R3A.3.J08.V1V2.E660.2A5.AVI.His","R3A.3.J08.V1V2.mac239.AVI.His","R3A.3.V1a","R3A.3.C1.Ak","R3A.3.C1.TR","R3A.3.G119","R3A.3.G73","R3A.3.SIVsm.E660.2A5","R3A.3.SIVsm.E660.84","C1q.SIV.E543.gp140","C1q.SIVmac239.gp140","C1q.J08.V1V2.mac239.AVI.His","C1q.V1a","C1q.C1.TR","C1q.G73","rR2A.1.SIVmac239.gp140","rR3A.1.SIVmac239.gp120","rR3A.1.SIVmac239.gp130","rR3A.1.SIVmac239.gp140","rR3A.1.SIVsmE543.gp140","hC1q.SIVmac239.gp120","hC1q.SIVmac239.gp130","hC1q.SIVmac239.gp140","hC1q.SIVsmE543.gp140","hFcgRIIIb.SIVmac239.gp120","hFcgRIIIb.SIVmac239.gp140","rR3A.3.SIVmac239.gp120","rR3A.3.SIVmac239.gp140","rR3A.3.SIVsmE543.gp140","hFcgRIIIa_F158.SIVmac239.gp140","hFcgRIIa.SIVmac239.gp140","aRhIgG.PE.low.SIVmac239.gp120","aRhIgG.PE.low.SIVmac239.gp130","aRhIgG.PE.low.SIV.1A11.gp140","aRhIgG.PE.low.SIV.E543.gp140","aRhIgG.PE.low.SIVmac239.gp140","aRhIgG.PE.low.SIVmac239.gp140.AVI.His","aRhIgG.PE.low.J08.V1V2.E660.084.AVI.His","aRhIgG.PE.low.J08.V1V2.E660.2A5.AVI.His","aRhIgG.PE.low.J08.V1V2.mac239.AVI.His","aRhIgG.PE.low.V1a","aRhIgG.PE.low.C1.Ak","aRhIgG.PE.low.G119","aRhIgG.PE.low.G73","aRhIgG.PE.low.SIVsm.E660.2A5","aRhIgG.PE.low.SIVsm.E660.84","aRhIgG.PE.high.SIVcpz.EK505.gp120","aRhIgG.PE.high.SIVmac239.gp120","aRhIgG.PE.high.SIVmac239.gp130","aRhIgG.PE.high.SIV.1A11.gp140","aRhIgG.PE.high.SIV.E543.gp140","aRhIgG.PE.high.SIVmac239.gp140","aRhIgG.PE.high.SIVmac239.gp140.AVI.His","aRhIgG.PE.high.J08.V1V2.E660.084.AVI.His","aRhIgG.PE.high.J08.V1V2.E660.2A5.AVI.His","aRhIgG.PE.high.J08.V1V2.mac239.AVI.His","aRhIgG.PE.high.V1a","aRhIgG.PE.high.C1.Ak","aRhIgG.PE.high.G73","aRhIgG.PE.high.SIVsm.E660.2A5","aRhIgG.PE.high.SIVsm.E660.84","rIgG_low.SIVcpz.EK505.gp120","rIgG_low.SIVmac1A11.gp140","rIgG_low.SIVmac239.gp120","rIgG_low.SIVmac239.gp130","rIgG_low.SIVmac239.gp140","rIgG_low.SIVsmE543.gp140","rIgG_high.SIVmac1A11.gp140","rIgG_high.SIVmac239.gp120","rIgG_high.SIVmac239.gp130","rIgG_high.SIVmac239.gp140","rIgG_high.SIVsmE543.gp140","SIVmac239.gp140.HisAVI.IgA","SIVmac239.gp140.IgA"
"08D197",34610,23507,7936.5,32056.5,117580,8947,6781,7048,30460.5,18559,9756,11044,20018,5803,15182,1946,21614,6150,2159,8271,58174,2846,2652.5,15114.5,13056.5,13356.5,23096,334,54002,47766,18730,50593,125936,3367,20805,22162,46033,25262,4902.5,6148,3178,1022,33277,11919,300,13899,373,505.5,766,417.5,775,629.5,480,3198.5,760.5,825,456,14787,504,590,5665.5,691.5,2412,513,1204,319.5,20280.5,14888,4630,11078,85454.5,525,1953,2071,6981,2817,459,675,364,10750.5,3222.5,1096,67100,50524.5,20634,61092.5,132286,2916,18251.5,20611,55826,27064,3107,937.5,39763,18308,657.5,2079,25326,19475.5,42844,23287,4313.5,19698,13630,75558,12929.5,169.75,249
"08D038",95806,74362,40687,61104,149933,34816,84622.5,84656,97971.5,127589,10819.5,62745.5,25445,25718,64820,18901,2283.5,22025,6243,14024,64045,25240,31601,41154,50206,14913,27725,3721,64387,50125.5,20212,42796,121843,13932.5,51607.5,63110.5,68764.5,93127,30586,9338,5383,9282,44665,13237,528,12239.5,2467,7716,1055,805,1408,2528,1459,6798.5,1906.5,10901,4735,34871.5,3380,2337,5315.5,1314,2176,630,1346.5,394,32262,22287,8935,11614,101688,2188,10788,14214.5,17692.5,27474,4589,1466,2051.5,19744.5,6444,1279,95144,71204,30153,66895,143503,12307,80438,99955,108414,127247,32911.5,12780,61628,28637,1368,7995,80617.5,56142,100163,62098,7053,33171.5,19849.5,86215.5,12946.5,196.5,291.5
"8-156",97652,80142,42431,72390,138316,25718,44483,51574,121307.5,91120,5155,31532.5,29594.5,19699,19631,4548,12302,35842,19655.5,33562,68947,3871.5,8976,53682.5,33994.5,6490,13378,197,96900,81168,33390.5,72834.5,144483.5,19973,40766,52280.5,114547,83767,28557,18719,1943,11059,36309,13157,340.5,9170,3785,1458.5,589.5,498,616.5,2179,1123,6022.5,1420,5267.5,568,56037,363,345,2834,1200,2201,525,880.5,484,27280,19380,7028,12539.5,85021,1316.5,2735,4243,21512,10493.5,1480,496.5,875,3840,1381,1037.5,76779,58368,20360,63418.5,124693,7356,26402,32980,106681,69756.5,8577,5917,21135.5,9090.5,676.5,3103,49988.5,33986,67529,33858,2966,24015,15961,69589,14413,144.5,200
"08D103",76266,50251,18491,50753,137917,10608,55506.5,62210,77246.5,116029,5932,8677.5,13260.5,4992,42864,13602,14762,9480,1829,9838,50069,14352.5,19152,23347.5,38965,10171,18878,1039,89376,76129,36206,61480.5,144712,11956,58584.5,75536,85078.5,97014,3598,5685,15126,4469.5,75240,46535,636.5,47390,7283,35568,345,278,908.5,1861,980,6657,1913,3077.5,961,51678,1674.5,1568.5,6058,1177,2534,649,1333,837,20269,13131,5108.5,9188,79298,890,6417,8114,11425,26641.5,383,1410,553,11167,3706,905,74567.5,51619,20839,60374,133186,4630,54058.5,67534,82126,116473.5,1163.5,2513,46888,22549,1028.5,5500,60326,43170.5,91561.5,60955.5,4742,22572,12767,73173,10949,250.25,374.5
"08D144",77189.5,64786,17063,40971.5,130609.5,12566.5,21078.5,26972.5,91907,65048.5,9359.5,12253,20155,11630,16877,5827,1597.5,6615,1531,2294,48336,2777,2735,25729.5,18787,14010,25832,94,53512,36366,8501,24692,105997,3434,11008,11087.5,58026,37289.5,4080,5833,4945,3015,8669.5,3365.5,172,381,325,992,2182.5,1750,676,1466,799.5,5030,834.5,1929,238,42681,92,542,3423,723,1652,270,830,467.5,13935.5,8561.5,3015.5,3737,52417,486,1604.5,2129,12399,6155.5,337,874,596,2809,1303.5,833,72253,50023,13393,41063,128991,2621.5,17323,23963,80826,50593.5,2352,4597,22116,11909,1172.5,4306.5,67552,47436,93403.5,47401,1663,17057,10025.5,57221,6535,126.5,222
"08D028",56362,45748,22481,47834,132217,18388,50981,55062,51265.5,88168,7836,24578,24943,11000,38566.5,7208,2435,5814,1811,8575,58208,10847.5,12223.5,14576,39170.5,13615,25559,1132,53306,41667,18514,46067.5,121262,10691.5,48678,49248,46831,75741.5,15665,11850,21386,5949,38600.5,13903.5,311,7013,526,2729,1012,584,885.5,1052,811,6285,1455.5,1255.5,600,19930,852,814,5641.5,811.5,2250,491,1176,480,28568,21842,7875.5,15011,94084,1601,7839,9000,9081.5,20941.5,1799.5,3615,1121.5,16136.5,4850.5,1011,60773.5,48849,23188,51026.5,134224,6300,35648,44483,44027,89467,7933,4468,42408,16742,1146,7175.5,50058.5,42284,93147,54918,5748.5,22060,15276,77187,11040,170,242.75
"08D258",73974.5,59303,29663,13028,139308,14309,40858,47469.5,85363,86549,8753,11902,16350,32045.5,40174,13535,32137,10952.5,3625,678.5,57593,6017,8045,36674,33288,11373,21557.5,794.5,63977,46421,26174.5,12871,129755,5398,23142,29891,69312,57558.5,4874,6894,38646,16657,39718,15664,104.5,9814,1429,1543.5,974,779,775,1698.5,1089,6349.5,219,6023.5,3185.5,56130.5,214,1388,5474.5,1102.5,2448,123,1168,716.5,23165,15270.5,7095.5,2777,77087,553,3125,4006,12408.5,8937,378,6242.5,1540,13935,4100,1275,80883,60488.5,29058.5,22458,134246,4769,33630,46079,102725,82354,2954,16756,45224,22572,1134,6115,55513,44056,89405.5,24207.5,7020,29437,19337,82585,3729,138,210.5
"08D225",57421.5,43115,28899,48746,123872.5,14623.5,44106.5,52246,57843.5,101277.5,4779,9819,13095.5,6074,28500,4634,2998,7608.5,1120,18286,62860,10730,18172,16569.5,44392,6082.5,12992.5,736,65025.5,63110,27097.5,54606,128409.5,14727,42727.5,50331,48074,91428,7046.5,6847,1516,3862,45133,18308,315.5,5193,434,3198,1180.5,935.5,485.5,1001,599,5204,1387.5,147,196,42238,873,228,2733,540,1708,415,789,238.5,15289,10484,3248,6868.5,64296,758,3618,4786,4823,13189.5,491,248,429,5673,2003,891,59348,43559.5,22857,56042.5,129777.5,7057,39535,53945,54287,97630,2847,2513.5,36457,17882,1120,6181,47622,38741,89895,57226,3112,18115.5,11146,66959.5,10019,292,416.5
"8-70",61127,56248,29914,30187.5,129732,10766,26835.5,31521,85899,62928,3250,16553,12519,6970,26345.5,10047,6078,7058,2176.5,2929,49977.5,3363,3816.5,19334,18251.5,9143.5,17373,305,91815.5,81099.5,31578,46729,137644,9346,41906.5,57125.5,82125.5,76494,18388,8658,1338,6850.5,60420,35739,324,31897,2363,2216.5,403,355,805,1573,915.5,5684,808.5,2804,855,51935,328,567,3464,860.5,1854.5,267,895.5,610,14529,9928.5,3324.5,4527.5,59268.5,672.5,2165,2681.5,9850,4047,817,251.5,511,6315,2655,829,65686.5,47812,18673.5,34564.5,130576,4086,22389.5,29503,65914.5,39922.5,6205.5,3449,33539,17300,737,4002,47377.5,34697,70932.5,34709,2817,15600.5,9392,60502,5940,166.5,242.75
"ZG05",85408.5,67374,32878,47150,132753,15400,39444,39946,88384,70725.5,12116.5,11847,24213.5,11039,29116,10615.5,19904,16540,8639.5,13152.5,54925.5,8291,10519.5,39421,29822,15809.5,27394.5,513.5,73279,58710,24077,45965,121558,4826.5,30666,32330,83836,54857,3448,7698.5,20212.5,2853,30803,10697,478,8913,4259,2034.5,1393,899,1228,3661,1735,7076,1503,11024,2828,51608,1368,3123,5294,1592,2285.5,608.5,1170,443,24533,15339,5906,10112.5,67613,571,4500,5276,19517,10584,248,3081,440.5,7576.5,3285,1222,97744,81214,38122,62837,141656,3722,40630,51163,117078,71831.5,880,3208.5,44141,25240,929.5,6488,71655,49301,83030,48205,4336.5,25352.5,16545,66796.5,11390,221.5,344.25
"ZG12",94893.5,74476,43662,69448.5,149044,16105,56863,72344,107353.5,95965,5111.5,8943,15513.5,5480,51574,25684,8375,35317,12863,22207,65208,18172,25490,52873,47766,13421.5,24578.5,2309,79002,61765.5,22629,58163,131054,8385,36138,46432,94255,73211,4956,7108,39387,1987,37563,19574,687,12827,5327,2677.5,806,485,697,3263,1714,7030,2011,14089.5,3539,61468,2638,2385,3046,1579,2344,728,958,498,22002,15320,5900,12152.5,82901,782,4411.5,5486,16980,10899.5,358.5,4455,354,11491,3595,163,794,336,790,603.5,1223,814,229,283,346,715,822,950,296,243.5,1121.5,7693,63111.5,44766.5,83916,48123.5,6974.5,31042.5,20291,84772.5,18360,186.75,259.25
"ZG68",80324,60431.5,42043,77452,120338,9971,60557,67157.5,86890.5,79868.5,4934,25650,13321.5,5509,49396,8289,9698,19768,7676,42613,64729,14514,25023,36731,34724,8484,15885.5,3598,79766,69586,41895,79823,134862,8658,68696,73849,87221.5,77452,23712,4549,11017,3663,63840,24852,671.5,9742,709,1131,426.5,287,669.5,1262,758,5382,2217.5,1021,370,32261,3090.5,465,3302,734,1947,792,789,425.5,13852,10237,4697,15308,62905,478,5165,6074,8715,8332,841,631,346.5,6472,1866,1131,68206,52565.5,29207,83938.5,129777.5,4254,45874,57912,74807,68981.5,10030,2440,43046.5,17532,1118,7560.5,59464,41632,91958,65012,2785,13871.5,9262.5,56686,15158.5,213,291.75
"08D106",80324,80005,38806,44893,130393,11680,65858,71501,94061,107912,4507,14115.5,12814,11093,31851.5,19083.5,5679.5,6129,3849,6277,50365,11548,15403,22321,35545,5220,10299.5,184.5,100901.5,91747,55643.5,54070,137256,11081,66724,75627.5,93412,104675,13861.5,7590,4138,15353.5,73724,58927,195,15336,1067,3298,498.5,333,491,1494,819,4054,807.5,1461,224,25058,128,710,2260.5,747,1393,345.5,641,343.5,17744.5,13933,6799.5,5537,63635,704,5439,8014,11319.5,15473,700,316,803.5,7044.5,3447,883,68765,60511,20930.5,42955,130918,3176,47356,62814,75605,89353,4800,5124,35112,21443.5,918,4422,55781,41468.5,75501,41363.5,2595,15684,11326.5,54719.5,5107,294.5,377.5
"8-144",41336,27360,6336,29252.5,109782,9186,11927,17393,46877,54218,7747,8627,14540,12150,185,166,6492.5,7281,663,10400.5,59371.5,1274,1533.5,16981.5,20178,6532.5,12497.5,86.5,49042.5,36206,5496,38122,106270.5,3355,11524.5,27542,49134,44255,1773,3124.5,1894.5,5151.5,770,321.5,186,4858,416.5,788,580,511,399.5,504,442,4510,773,85,82,35082,105,791,3026,383,1610,278,929,269,12430,8277,2520,5380,51277,371,1545,2116,5965,5647,252,477.5,647,1532,612,716,43662,30985,6805,37734,107889.5,1438,11592.5,16836.5,41952,39273,764,4194,4298,2748,641,1784,27599,24347.5,73438,30420,826,11511,8520,49542,5857,900.5,1184.25
"8-58",93845,93560,45053,55461,124647.5,19083.5,75525,83402,117352,106054.5,2621,55518,7709,9762,42568,4824,762.5,12963,3889,22595,63931,9872,14115,36400.5,30552,7798,15189,291,53261,38794.5,9470,32832,98233.5,7510.5,33584,44392,67636,52691,29002,3871,504,2919,12329.5,2147.5,177,22367,5641.5,6104,144,208,578,1411.5,663,4764,922,1768,183,37587.5,122.5,530.5,1801,859,1666.5,321,962,324.5,11769,7919,3075,5817.5,39262,791,5117,6509,14247,11021,2411,263,581,2312,990.5,750,62210,48017,15329,43958,116417,5088,41884,50730,83995.5,74100,18810,4042.5,17598.5,7386,1019,5248,72552,48054,93380,52925.5,1561,11170.5,6606,31461,4041,326,457.75
"8-124",105952,95372,55564,81042.5,140277,22982,96102,109189,119266.5,134155,7194,12208.5,16849,6192,62859.5,25741,20771,47150,31168,39239,67420,35226,48735,54446,58277,8047.5,13135,22298.5,93252,74556,30495,65140,136549,11228.5,77828,91337,106020,123234,6364.5,5249,3928,1905.5,62700,29708,442,21136,7319,14286,596,470.5,909,2161,1376,5382,1555,11527,3497.5,50804,1749,1013,2724,1027,1648,471,692.5,430,18867,13009,5841.5,9819,61993,805,7597,8767,15701,32878,459,494.5,372.5,9872,2932,1078,96501,79253,37586,82810,129698,7522,89262,108756,119198,131921,3354.5,1596,63942.5,29469,1247.5,8958.5,74032.5,57949,96841.5,63158.5,7388.5,35277,21536,75616,19977.5,785.25,1030.5
"8-166",79367,68879,40173.5,44232,121980,12605,48415.5,48518,79184,49897.5,4201,23416,11883,7905,46204.5,9347,2473,10985,1590,18312,62837,2865.5,2998,21762.5,8782,7166,13602.5,848,62164,43342.5,14624,33926.5,115938,6295,28112.5,26106,46284,25730,10902,3385,32456,3533,37552,8248,138.5,8432.5,371,484.5,840.5,671,1128,817,535,4305,730,2047,900,20536,1001,196.5,1764,446.5,1339,239,572,289,17322.5,12472.5,5590,6487.5,60830,714,3662,4309,8281,3331,1045.5,4289,728,8708.5,2612,1037,59155,44164,20976,42408,119734,3558,25958,29252.5,50183,24749.5,6980,3462,37153,15158,1138,5478.5,48671,36154,84639,42342.5,3274.5,14483,9621,55801,5934,329.75,469.75
"AR87",32820.5,18445,7309,7519,101038,7223.5,38703,40858,33311,68240.5,3143.5,5531,9531.5,12131.5,9830,859,314.5,1294,98,311.5,42066,3154,3472,4029.5,19038,8547,14989,105.5,33892.5,26927,15480,14991,104698,3977.5,22902.5,25103,25490,54754.5,1789,3512,749,5274,28386,6001,82,2154,161,435,318,345,348,285,255,3707,174,49,70,14014,57,174.5,1958,403,1394,87,543,312,11295,6137.5,1888,1507.5,43981.5,381,2592,3185,3145,4633,274,229,874,2113,911,597,38692,22925.5,8420.5,11078,96695,2034.5,22367,27998,27269,38224,712,4761.5,14428,6165.5,548.5,2478,27832,23916,80350,19219,1055,10670,6703.5,46342,1862,532.75,821
"8-86",25878,17077,6611,6280,108688,7844,6796,5565,48860,9212.5,7388.5,12084.5,15574.5,4736,6408,1149,7979,1323.5,248,390,45999,1667,1052,16623.5,6953,11436,21694,87,68708,53226.5,25148,21455,119996.5,5420,16239.5,17641,82205.5,11966,10232.5,5452,960,2115,35169,11143,111,7614.5,832,323,828,517.5,749,718,548.5,3908,213,1669.5,842,58368,273.5,337,4764,551,1953,137,1039,500,7747,4959,2915,2466,41461.5,460.5,1203,1189.5,9191.5,997,700.5,225,377,3368,1352,765,48450,35112,16282,21113,128170,3174.5,12487.5,12733,67078,10116,6280,2747.5,25433.5,12407,548.5,3220,32937,25991,66783,18951,2173.5,10247.5,6588,48914,3585.5,697.75,1083.5
"8-94",57581,61058,29560.5,29138.5,119951,8662,43115,48803,58573,47036,5462,7823,11779,5053.5,37962,8107,323,2472,567,2115,46728.5,4260,3789,5992.5,10597,10458.5,17830,295,52827.5,43628,17367.5,20896.5,104834,3637,24168,30814,38828,22390,2705,4456.5,6488,1137,31692,9445.5,224,3769.5,392,821,1078.5,715,1105.5,855,569,4720.5,631,1820,877,13941,768,253,3192,586,1938,234,902,430.5,9898,7072,3592,3238,42294,758,2866,3247.5,3999,3309,648,911.5,373,5682,1754,787,51186,39604,17988,28135,119974,4527,26676,30905.5,36161,29594.5,4723,2136,33949,14754,880,6142,46328.5,34988.5,88112,38485,3126,11468,7698.5,46726.5,4273.5,291,441.5
"AZ44",87460.5,72572,38019,48450,133084,29879.5,82205.5,91770,109086.5,87484,7824,50935,18718.5,6615,57547,10955,29959,16987.5,9850.5,11997,54446,26608,31145,47834,37050,13707,26471,5562,96193,79002,52257.5,59850,140767,29275,78956,91223,109098,84736,44984,9842.5,48256.5,2841,71945.5,23666,465,11228,6623,3804,927.5,470,2335,3501,1730.5,7099,1814,15530,6377,45140,4768.5,3794.5,5365,1759,2288.5,545,1177,517.5,30324,20189.5,8389,10060.5,78637,1674,13327,15780.5,24214,13051,2685.5,6546,344,16160.5,3813,1432.5,103170,81715,39398,66758,139593,14153.5,87746,106476,129196,103569,26812.5,2450,66952.5,24419,1340.5,20128,78928,56457,98275,55140,9030,37325,22758,83563,11613,1045,1210.25
"T4279",15176,7062,2487.5,536,66063,7256,11362.5,12037,46899.5,35568,6962,8397,14924,4704.5,1102,186,67,191,97,101,20839,2158.5,1642,9249,13483,12435,24076.5,77,21022,10304,1450,882,59075,2505,9998,10197,40698,16892,3397,6819.5,1860,911,3224.5,155,68,450.5,251,304,536,350,108,180.5,132,1639.5,57.5,79,85,618.5,63.5,101,436,221,675,44,281,180,3404,1905,1071.5,982,10919,188,1451.5,1735,5541.5,2985.5,183,283,144,1103,313,377,29446,17499,5351.5,7619,65368,1302,14275,16731,47059,30130,1413.5,628,9618.5,2615.5,315.5,1121,18601,13926,58322,4876,568.5,4019,2244,13260.5,875,159.5,268.75
"3D7",82445,66964,31122,56909,122311,10257,79834.5,85215,93628,35477,5528.5,7517,14158,34496.5,59508,2325.5,5523,21409,15044,24464,56749,24305,26619,35454,12278,9233,15649,10402,86594,72948.5,37449,58984,123074,6607.5,76038,85956,85420.5,38167.5,2843,5583,8385,29868,69540,12575,300,4674,923,472.5,710,660,4544.5,2291,1368,7221.5,2091,7097,3636,35921,5653,770,3506.5,958,1898,455,1067,353.5,9345,8183,3377,6831,42647.5,472.5,7715,7665,9127.5,2279.5,238,439,1517,6375,1003,905.5,73553,56065.5,25068.5,49408,123405,3682,59075,64478,74237,24533,1311,16443,51551,10947,969,7390,61072,43380,87809,49941.5,2909,15126,9797,50961,6893.5,678.25,1029.75
"8-56",90106,69244,23062,28682,116576.5,9600,64832,72002,100594,96353,2380,9565,7311,19950,28295,460,615,7545,1468,935,52531,6335,9648,28318,31920,12012.5,21067.5,111,41724,26380,4318,9171,86640,2467,23530,32057,51938,50114,3115,3539,829,3395,9344,406,78,22390,7403,6086.5,233,226,569,1321.5,746,5373,221,1138,183.5,30011.5,92.5,725.5,4360,694.5,1646,98,956.5,479,9550,5293,2073.5,2464,30142,348,3765.5,4915,10955,7423,326,317,709,2131,605,640,62495,39968.5,15085,19608,113612,2259.5,32935,43069,74715.5,73484.5,2392.5,5095,19106,5029,726,11302,60489,42844,89067.5,23718,2008.5,11334,5803.5,28459,2098,296,495.25
"8-64",83927,77235,35910,25924,135683,3815.5,20885,25901,66462,29218,1740,4499.5,6352,1923,53454.5,9400,2112,1557,538,346.5,53899,1105,846,1822.5,6145,7926.5,16663,201,35933,33698.5,8540,8837.5,106978,1693,5483.5,4449,18742,9525.5,1813.5,2740,2117.5,786,19220,5079,114.5,20599.5,104,144,235,353.5,776.5,701,701,5966,317.5,561,312,56410,257.5,203.5,3840.5,398,2140,118,1136,547,11907,7912,3590.5,2711.5,56293.5,404.5,1053,1122,2853,1053.5,607,468,290,6179,1900,854,41952,28933,15332.5,16793,119221,1616,7214,8404,15795,8506,2228,641,26094.5,10422,967,6916,39953,37110,90268,29976.5,2323,9560,6668,49065,2808,455.5,665.5
"8-116",101984,85272,42955.5,49191,137290.5,23666.5,91998,94141,124009,120270,8077,13080,18479.5,8462.5,66439,18069,27656,57114,42294,32878,70668.5,38691.5,45953.5,62540,55871,7590,14461,18719,112609,98656,58037.5,59440,146672,29811,94221,97333.5,123724,114615.5,11787.5,8885,18457,8265,93503,61811,129,4477,2075.5,1896.5,693.5,479,3179,4122,2290,8718,1610,8887,4275.5,31282,2936,2809,4452,1796,2282.5,395.5,1178,529,17203,11597,4271,5323,60078,601,7597,8105,22480.5,11854,327.5,505.5,320,8322,2548.5,1014,91177,68753,28614,42590.5,129948.5,7195,70247,79777,115186,105724,3815,2257,52622,20201,1308,9858,84953.5,59813,97890.5,53986,5584,32671,19989,75988,7373,1903.75,2561.25
"8-2",58539,51779,26778.5,56601,116189,22640,57068,71843,79846,107570.5,5151.5,22184,21546,7058,23826,9116.5,98,1816,440,6438,43274.5,6740.5,9848,20201,40094,16008,28888,152.5,35545,24567,8226,30666,83117.5,7083.5,19745,20235,33641.5,65789.5,7745.5,8493.5,618,1508,10269,4404.5,522.5,3521.5,1210,2783,2051.5,1333,497.5,750,496,4550,1276,327,159.5,29510.5,242,190,3167,405,1585,383,700,375.5,10418.5,6734.5,3184,7625,39159,999,4298,5906.5,9572,21078.5,928,263.5,470,3922,1810,825.5,46535,32444.5,13828,48906,107924,6609,31054,41587,58300,94984.5,5977.5,2570.5,24875,13511,1184,5355,55991,40489,92203,58112,2109,11136,7285,40978.5,9985.5,1357,1836.75
"AS42",104424,92477,53773.5,63703.5,139068.5,7026,83904,90071,86959.5,55096,3760.5,13805,9458.5,3783.5,77702,28329,10744,20303.5,16999.5,32969,62916.5,23917,28500,31851.5,10153,6277.5,12038.5,6953.5,38235.5,46557.5,15085,24989,97470,2284,49305,34040,47629,18051,3299.5,2420,2619.5,874,33014,10267,189.5,53056,927,217,206.5,267.5,778.5,2105,1228.5,6354.5,1306.5,6763,2302,69650,484,1478.5,5618,1026.5,2118.5,492,1058.5,547,13136,10478,3815,6495,56966,413.5,7048,8520.5,8483,2320.5,596,448.5,305.5,7349,1895,704,49294,49180,18365.5,35385.5,117990,1613.5,45326,49601.5,54765.5,19380,3520,1129.5,37301,11781,1004,8310.5,60909,46550,95711,53916,3874,17627,12347,61526,7996.5,749.5,1124.5
"AS70",110899.5,93069.5,40926,61024.5,141987,21295,88532,92477,115687,109041,3145.5,24122.5,15750.5,3552,71204.5,23472.5,8121,23233,6923.5,10211.5,56749,14795,20771,43616.5,36070,6072,11678,1411,91861,76574,35819,47310,132787,16270,71079,76950,97903,85899,18144,9409,1340,1938,65550,29093,189,55267,26676,17707.5,270,228,1555,2140.5,1105,6392,810,8687,3067,53240,1659.5,1689,5148,1130,1905,278,1099,522,14067,9300.5,3480,5794.5,51665,743,5125,6885,15413,10424,844.5,293.5,301.5,6033.5,1866.5,808,82125.5,53147,20394.5,42613,123006,6485,53226.5,63748.5,99340,86275.5,7098.5,1065,40174,17345,971,6046.5,67925,46783,98601,46993,2155.5,13015.5,7749,45493,4705,862,1114
"AV45X",77953,58619,23758,55427,119301,19289,41108,57513,95908,93868,4580,46010.5,17012,6031,25559,4261,2926,6726.5,755,6703,41769.5,4310,5799,25696,30814.5,11400,20315,151,70475,53466,16614.5,48450,110808,14052,33368,46398,87244,70862,33733,8772,23530,3402,38304,8799.5,626,30438,8158,11630.5,631,470,492,1135,651,4557,1391,1826,202,43217,765,861.5,3654,770,1533.5,430.5,1003.5,478,13312,8530,3164,7673.5,44756,861,2698,3757,13201.5,11000,2025,2120,411,5699,1524,654,72322,46740,18639,57410.5,115573,6711.5,30598,40060,93526,80746.5,18810,3101,32308,12472,641,5847.5,48135,34429,76573,45151,2352,13398.5,8497.5,41513.5,8816.5,965.25,1509.25
"T-4276",34702,24453,11250.5,19916,109086.5,8651,29799.5,32034,40994,37529,6464,8580,15377,5211,22344,1870,2051,1732,546,1208,43229,5492,5141,8317,15434,13038.5,23530,423,58904,38862.5,13586.5,30084.5,108459.5,3835,27998,38327,48586.5,32262,4193,6799,973,1922,33151,7172,106.5,6591,310.5,420,565.5,482,735,416.5,412,4532.5,410.5,594,285,20303,425.5,204,2716,455,1615,166,776.5,414,6981.5,4454,2208,3208,36024,268,2230,2712,3690,2267,200,183,242,4296,996,697,50570.5,39923,14445.5,32855,123713,2018,30985,36594,45372,30096,1197,2110,34291,9743,765.5,3648,35315,30198,86107,31818,2030,9652.5,6651.5,45365,4195,403,597.25
"ZE24",86058.5,72139,37894,69756.5,128364,10987,44950.5,53375,78318,81328,11171,11959.5,20794,6683,34656,31042,23677.5,29070,17028,32650,58254,15300,18354,38726,39432.5,15978,26744,1218,91588,79504,37916,68240,127053,4591,54766,61834,85078,77224,3754,6363,1347.5,1505,49932,44106.5,1038,14211,2758.5,3944,642.5,440,709,3163,1787,6748,2450,23193.5,9771,73112,8568.5,3161.5,5205,1699,2355.5,794,1153.5,575,29605.5,21306.5,7024,14169,85135,477.5,5956,7967,15944,13094,311.5,249,279.5,6768,4828.5,1480,102303.5,80552,35898.5,81384.5,136504,3618,54378,68263,102269.5,97652,2474.5,1090,47675,43012,1453,12247,78088.5,61189,97016,70489.5,4785,31647,20710,77361,15920,393.5,555.75
